افريقا	非洲
جاپان	日本
سوېلي امريکا	南美洲
ناروې	挪威
د آيرلېنډ جمهوريت	爱尔兰共和国
هنگري	匈牙利
اسپانیا	西班牙
د امریکا متحده ایالتونه	美国
بلجیم	比利时
لوگزامبورگ	卢森堡
ځمکه	地球
ژوند	生命
انسان	人
فېنلانډ	芬兰
سويډن	瑞典
ډېنمارک	丹麦
پولنډ	波兰
لېتوانيا	立陶宛
اېټاليا	意大利
سويس	瑞士
اتريش	奥地利
يونان	希腊
تورکيه	土耳其
بير	啤酒
پرتگال	葡萄牙
اروپا	欧洲
آسيا	亚洲
شمالي امريکا	北美洲
انټارکټيکا	南极洲
ويکيپېډيا	维基百科
هالنډ	荷兰
نيويارک (ښار)	纽约
واشنگټن ډي سي	华盛顿哥伦比亚特区
برلين	柏林
سولگر	電子計算機
څوریخ	苏黎世
انټرنټ	互联网
باراک حسين اوباما	贝拉克·奥巴马
لندن	伦敦
قاهره	开罗
مڼه	苹果
پاريس	巴黎
گووگل	Google
اتلانتيک سمندر	大西洋
غلی سمندر	太平洋
کالېفورنیا	加利福尼亚州
دونۍ	星期一
جنوري	1月
فبروري	2月
مارچ	3月
مريخ	火星
کېنيا	肯尼亚
اېتوپیا	埃塞俄比亚
گانا	加纳
اپرېل	4月
مې	5月
جون	6月
جولای	7月
اگسټ	8月
سپټمبر	9月
اکتوبر	10月
نومبر	11月
ډيسمبر	12月
درې نۍ	星期二
شورو	星期三
زيارت	星期四
جمعه	星期五
خالي	星期六
يونۍ	星期日
زمری	狮
فرانسه	法国
سپی	犬
بريتانيا	英国
پيشو	猫
چين د خلکو جمهوريت	中华人民共和国
فرانسوي ژبه	法语
اېتنول	乙醇
برازیل	巴西
روسیه	俄罗斯
نهنگ	鯨目
څلوريځ (مېچپوهنه)	正方形
بوینگ ۷۴۷	波音747
ويکيمېډيا بنسټ	维基媒体基金会
آلمان	德国
بېلاروس	白俄罗斯
آلماني ژبه	德语
آيسلېنډ	冰岛
الله	神 (一神教)
اېسټونيا	爱沙尼亚
زحل	土星
الوتکه	固定翼飛機
جگړه	战争
جورج واکر بوش	乔治·沃克·布什
اوکراین	乌克兰
چېک جمهوريت	捷克
سلواکيا	斯洛伐克
سلووانیا	斯洛文尼亚
مولدوا	摩尔多瓦
رومانیا	羅馬尼亞
بلغاریا	保加利亚
د مقدونيې ولسمشريزه	馬其頓共和國
البانیا	阿尔巴尼亚
کروواسيا	克罗地亚
آزربايجان	阿塞拜疆
اندورا	安道尔
گرجستان	格鲁吉亚
قزاقستان	哈萨克斯坦
مالټا	马耳他
مانتېنېگرو	蒙特內哥羅
واټيکان ښار	梵蒂冈
سان مارینو	圣马力诺
بروکسل	布鲁塞尔-首都大区
بېلیز	伯利兹
باربادوس	巴巴多斯
اندونيزيا	印度尼西亚
ولفگانگ امادیوس موزارت	沃尔夫冈·阿马德乌斯·莫扎特
لیودویگ وان بیتهووین	路德维希·范·贝多芬
تورکي ژبه	土耳其语
سویلي افریقا	南非
الجزاير	阿尔及利亚
اوزبکستان	乌兹别克斯坦
تاشکند	塔什干
اوبه	水
تلويزون	电视
چېلي	智利
عيسی	耶稣
گاليليو گاليلی	伽利略·伽利莱
عطارد	水星
پېښليک	历史
ژبه	語言
زورواکي	獨裁政體
مشتري	木星
میشل باشله	蜜雪兒·巴切萊
ستورپوهنه	天文學
سينگاپور	新加坡
پوهنه	科学
تکړښت	体育运动
اډولف هټلر	阿道夫·希特勒
فېس بوک	Facebook
ويکيلېکس	維基解密
لومړنۍ نړېواله جگړه	第一次世界大战
دويمه نړېواله جگړه	第二次世界大战
گړيال	時鐘
شچېچېن	什切青
شمېرپوهنه	数学
